Country,agr_land,land_area,Birth Rate,cap_city,Co2,CPI,CPI_change,fert_rate,gas,GDP,child_death,life_expect,lang,health_cost,pop,tax_rev,unemploy,lat,lat
Afghanistan,58.1,652230.0,32.49,Kabul,8672.0,149.9,2.3,4.47,0.7,19101.353833,47.9,64.5,Pashto,78.4,38041754.0,9.3,11.12,33.93911,67.709953
Albania,43.1,28748.0,11.78,Tirana,4536.0,119.05,1.4,1.62,1.36,15278.077447,7.8,78.5,Albanian,56.9,2854191.0,18.6,12.33,41.153332,20.168331
Algeria,17.4,2381741.0,24.28,Algiers,150006.0,151.36,2.0,3.02,0.28,169988.236398,20.1,76.7,Arabic,28.1,43053054.0,37.2,11.7,28.033886,1.659626
Angola,47.5,1246700.0,40.73,Luanda,34693.0,261.73,17.1,5.52,0.97,94635.41587,51.6,60.8,Portuguese,33.4,31825295.0,9.2,6.89,-11.202692,17.873887
Antigua and Barbuda,20.5,443.0,15.33,St. John's,557.0,113.81,1.2,1.99,0.99,1727.759259,5.0,76.9,English,24.3,97118.0,16.5,,17.060816,-61.796428
Argentina,54.3,2780400.0,17.02,Buenos Aires,201348.0,232.75,53.5,2.26,1.1,449663.446954,8.8,76.5,Spanish,17.6,44938712.0,10.1,9.79,-38.416097,-63.616672
Armenia,58.9,29743.0,13.99,Yerevan,5156.0,129.18,1.4,1.76,0.77,13672.802158,11.0,74.9,Armenian,81.6,2957731.0,20.9,16.99,40.069099,45.038189
Australia,48.2,7741220.0,12.6,Canberra,375908.0,119.8,1.6,1.74,0.93,1392680.589329,3.1,82.7,nan,19.6,25766605.0,23.0,5.27,-25.274398,133.775136
Austria,32.4,83871.0,9.7,Vienna,61448.0,118.06,1.5,1.47,1.2,446314.739528,2.9,81.6,German,17.9,8877067.0,25.4,4.67,47.516231,14.550072
Azerbaijan,57.7,86600.0,14.0,Baku,37620.0,156.32,2.6,1.73,0.56,39207.0,19.2,72.9,Azerbaijani language,78.6,10023318.0,13.0,5.51,40.143105,47.576927
The Bahamas,1.4,13880.0,13.97,Nassau,1786.0,116.22,2.5,1.75,0.92,12827.0,8.3,73.8,English,27.8,389482.0,14.8,10.36,25.03428,-77.39628
Bahrain,11.1,765.0,13.99,Manama,31694.0,117.59,2.1,1.99,0.43,38574.069149,6.1,77.2,Arabic,25.1,1501635.0,4.2,0.71,26.0667,50.5577
Bangladesh,70.6,148460.0,18.18,Dhaka,84246.0,179.68,5.6,2.04,1.12,302571.254131,25.1,72.3,Bengali,71.8,167310838.0,8.8,4.19,23.684994,90.356331
Barbados,23.3,430.0,10.65,Bridgetown,1276.0,134.09,4.1,1.62,1.81,5209.0,11.3,79.1,English,45.2,287025.0,27.5,10.33,13.193887,-59.543198
Belarus,42.0,207600.0,9.9,Minsk,58280.0,,5.6,1.45,0.6,63080.457023,2.6,74.2,Russian,34.5,9466856.0,14.7,4.59,53.709807,27.953389
Belgium,44.6,30528.0,10.3,City of Brussels,96889.0,117.11,1.4,1.62,1.43,529606.710418,2.9,81.6,French,17.6,11484055.0,24.0,5.59,50.503887,4.469936
Belize,7.0,22966.0,20.79,Belmopan,568.0,105.68,-0.9,2.31,1.13,1879.6136,11.2,74.5,English,22.7,390353.0,26.3,6.41,17.189877,-88.49765
Benin,33.3,112622.0,36.22,Porto-Novo,6476.0,110.71,-0.9,4.84,0.72,14390.709095,60.5,61.5,French,40.5,11801151.0,10.8,2.23,9.30769,2.315834
Bhutan,13.6,38394.0,17.26,Thimphu,1261.0,167.18,2.7,1.98,0.98,2446.674101,24.8,71.5,Dzongkha,19.8,727145.0,16.0,2.34,27.514162,90.433601
Bolivia,34.8,1098581.0,21.75,Sucre,21606.0,148.32,1.8,2.73,0.71,40895.322865,21.8,71.2,Spanish,25.9,11513100.0,17.0,3.5,-16.290154,-63.588653
Bosnia and Herzegovina,43.1,51197.0,8.11,Sarajevo,21848.0,104.9,0.6,1.27,1.05,20047.848435,5.0,77.3,Bosnian,28.6,3301000.0,20.4,18.42,43.915886,17.679076
Botswana,45.6,581730.0,24.82,Gaborone,6340.0,149.75,2.8,2.87,0.71,18340.510789,30.0,69.3,English,5.3,2346179.0,19.5,18.19,-22.328474,24.684866
Brazil,33.9,8515770.0,13.92,Bras���,462299.0,167.4,3.7,1.73,1.02,1839758.040766,12.8,75.7,Portuguese,28.3,212559417.0,14.2,12.08,-14.235004,-51.92528
Brunei,2.7,5765.0,14.9,Bandar Seri Begawan,7664.0,99.03,-0.4,1.85,0.37,13469.422941,9.8,75.7,Malay,6.0,433285.0,,9.12,4.535277,114.727669
Bulgaria,46.3,110879.0,8.9,Sofia,41708.0,114.42,3.1,1.56,1.11,86000.0,5.9,74.9,Bulgarian,47.7,6975761.0,20.2,4.34,42.733883,25.48583
Burkina Faso,44.2,274200.0,37.93,Ouagadougou,3418.0,106.58,-3.2,5.19,0.98,15745.810235,49.0,61.2,French,36.1,20321378.0,15.0,6.26,12.238333,-1.561593
Burundi,79.2,27830.0,39.01,Bujumbura,495.0,182.11,-0.7,5.41,1.21,3012.334882,41.0,61.2,Kirundi,19.1,11530580.0,13.6,1.43,-3.373056,29.918886
Ivory Coast,64.8,322463.0,35.74,Yamoussoukro,9674.0,111.61,-0.9,4.65,0.93,58792.205642,59.4,57.4,French,36.0,25716544.0,11.8,3.32,7.539989,-5.54708
Cape Verde,19.6,4033.0,19.49,Praia,543.0,110.5,1.1,2.27,1.02,1981.845741,16.7,72.8,Portuguese,23.2,483628.0,20.1,12.25,16.5388,-23.0418
Cambodia,30.9,181035.0,22.46,Phnom Penh,9919.0,127.63,2.5,2.5,0.9,27089.389787,24.0,69.6,Khmer language,59.4,16486542.0,17.1,0.68,12.565679,104.990963
Cameroon,20.6,475440.0,35.39,Yaound�,8291.0,118.65,2.5,4.57,1.03,38760.467033,50.6,58.9,French,69.7,25876380.0,12.8,3.38,7.369722,12.354722
Canada,6.9,9984670.0,10.1,Ottawa,544894.0,116.76,1.9,1.5,0.81,1736425.62952,4.3,81.9,French,14.6,36991981.0,12.8,5.56,56.130366,-106.346771
Central African Republic,8.2,622984.0,35.35,Bangui,297.0,186.86,37.1,4.72,1.41,2220.307369,84.5,52.8,French,39.6,4745185.0,8.6,3.68,6.611111,20.939444
